script,P_ERA_source,day_weighting_applied,resulting_units,notes
scripts/diagnostics/era5_precip_units.R,"DuckDB monthly table, dataset='ERA5' (line 78) -- i.e. the standalone *_FLUXNET_ERA5_MM_*.csv file, per duckdb_setup.R's filename-token parsing",yes -- map_a = sum(P_ERA*days) (line 95); also tests map_b (no weighting) and map_c (mean*365.25) as explicit alternatives,mm per period (mean daily rate -> summed monthly/annual total),"First script in the chain. Establishes the ERA5 dataset source and day-weighting formula that every later script reuses. D1/D2 of this diagnostic confirm both choices are correct, given the product's own BIFVARINFO unit statement and its own bundled YY file."
scripts/diagnostics/era5_precip_units_v2.R,"DuckDB monthly table, dataset='ERA5' (line 140)",yes -- sum(P_ERA*days) (line 165); cross-checked against the product's own bundled YY file (non-circular),mm/yr,"Confirms day-weighting reproduces the product's own annual file to <0.7% (median ratio 1.0000) across 2,955 site-years -- this diagnostic reproduces that exact result at IT-MBo specifically (44/44 years, ratio 1.0000 exactly)."
scripts/diagnostics/era5_precip_units_v3_partA.R,"Both: standalone ERA5_MM file (line 63) AND the FLUXMET_MM file's own embedded P_ERA column (line 62), compared directly",yes for the network-scale MAP calc (line 247); the file-comparison part (A1) is unweighted, comparing raw monthly values,mm/d (raw comparison), mm/yr (MAP calc),"Established that the two P_ERA sources are identical in the raw file, before any of this repo's code runs -- this diagnostic's D1 reproduces that result exactly (0 differences, all 4 sites, 1,008 site-months)."
scripts/diagnostics/era5_precip_units_v3_partB.R,"DuckDB monthly table, dataset='ERA5' (line 138)",implicit via TA/P covariate use; does not recompute MAP itself (reuses v2's),n/a (works from v1/v2's already-computed MAP),"Builds the empirical 4x/8x factor from BADM+BIO12 references against v1/v2's MAP numbers; does not re-derive P_ERA."
scripts/diagnostics/era5_precip_units_v4.R,none -- reuses table_b1_factor_estimates.csv from v3 Part B (line 50),n/a (no raw P_ERA read),n/a,"Scopes the 123-site cluster using v3's already-computed factors; never re-reads P_ERA."
scripts/diagnostics/era5_reference_plots.R,"DuckDB monthly table, dataset='ERA5' (line 103)",yes -- P_ERA*days_in_month (line 110),mm/yr,"Recomputes era5_map_mm from scratch as its own MAP estimate (not reused from v1-v4), using the same source+formula."
scripts/diagnostics/era5_cumulative_test.R,"Raw *_ERA5_MM_*.csv files, read directly (line 51), NOT DuckDB",yes -- P_ERA*days_in_month (line 61),mm/d and mm/month,"Bypasses DuckDB entirely to rule out an ingestion artifact; still reads the standalone ERA5_MM file and applies the same day-weighting."
scripts/diagnostics/era5_share_for_coordination.R,"Raw *_ERA5_MM_*.csv files, read directly via read_era5_mm() (lines 59-64); reuses table_site_reference_comparison.csv for the published numbers",yes -- P_ERA*days (line 64); the published site_list.csv reuses era5_reference_plots' already-computed era5_map_mm,mm/d and mm/month for the new figures; mm/yr for the reused site list,"The externally-shared package. Its IT-MBo/US-HB4 framing and the 123-site list are the specific claims Dario is disputing."
R/climate_classification.R,"DuckDB monthly table, dataset='ERA5' (documented in the roxygen example, line 220; consumed by compute_era5_monthly_climatology())",yes -- p_tot = P_ERA*days_in_month (line 250),mm/yr (feeds compute_site_koppen_era5()'s MAP and the KG_ERA5_MAP_MAX_MM screen),"Operational pipeline code (not a diagnostic) -- this is what actually drives the 26-site exclusion and the Koppen classification screen in the real pipeline, not just the diagnostics."
scripts/step5_compute_koppen_era5.R,"DuckDB monthly table, dataset='ERA5' (line 59)",delegated to compute_era5_monthly_climatology() in R/climate_classification.R,mm/yr,"Pipeline entry point that calls the function above; site_koppen_era5.csv (the snapshot consumed by every later diagnostic) is this script's output."
